Timestamp,LTP,BidQty,AskQty
2025-06-06 12:27:44.259177,795.0,450,300
2025-06-06 12:27:44.681526,903.8,960,570
2025-06-06 12:27:44.765544,903.8,960,570
2025-06-06 12:27:45.018047,745.65,180,360
2025-06-06 12:27:45.266582,745.65,360,240
2025-06-06 12:27:45.494540,795.0,570,300
2025-06-06 12:27:45.762918,904.6,960,570
2025-06-06 12:27:45.881519,902.65,750,420
2025-06-06 12:27:45.982923,796.6,570,300
2025-06-06 12:27:46.418778,747.25,360,240
2025-06-06 12:27:46.657275,796.6,360,150
2025-06-06 12:27:46.661015,747.25,360,330
2025-06-06 12:27:46.790785,902.95,750,420
2025-06-06 12:27:47.083090,905.0,720,690
2025-06-06 12:27:47.764606,904.85,720,690
2025-06-06 12:27:47.818282,748.25,360,330
2025-06-06 12:27:47.859579,796.6,420,300
2025-06-06 12:27:47.865559,748.25,390,330
2025-06-06 12:27:47.984518,797.05,420,300
2025-06-06 12:27:48.178199,795.85,420,300
2025-06-06 12:27:48.287071,904.95,420,660
2025-06-06 12:27:48.764765,904.95,420,660
2025-06-06 12:27:49.063632,797.25,330,510
2025-06-06 12:27:49.067390,748.25,240,210
2025-06-06 12:27:49.176750,797.25,330,510
2025-06-06 12:27:49.494995,902.85,480,600
2025-06-06 12:27:49.622009,748.1,240,210
2025-06-06 12:27:49.765177,904.0,480,600
2025-06-06 12:27:50.273088,797.25,270,330
2025-06-06 12:27:50.277992,748.1,660,270
2025-06-06 12:27:50.420166,745.1,660,270
2025-06-06 12:27:50.688247,903.15,750,480
2025-06-06 12:27:50.766257,903.15,750,480
2025-06-06 12:27:50.774391,796.5,270,330
2025-06-06 12:27:51.479002,796.5,390,270
2025-06-06 12:27:51.669039,745.1,300,210
2025-06-06 12:27:51.766796,903.95,750,480
2025-06-06 12:27:51.892150,903.95,450,660
2025-06-06 12:27:52.380296,796.4,390,270
2025-06-06 12:27:52.767362,904.45,450,660
2025-06-06 12:27:52.867543,795.6,330,330
2025-06-06 12:27:52.871833,745.1,330,300
2025-06-06 12:27:53.095662,902.7,240,540
2025-06-06 12:27:53.184239,795.6,330,330
2025-06-06 12:27:53.819430,902.4,240,540
2025-06-06 12:27:53.819945,745.55,330,300
2025-06-06 12:27:54.068173,797.4,240,450
2025-06-06 12:27:54.073962,745.55,360,360
2025-06-06 12:27:54.196102,797.4,240,450
2025-06-06 12:27:54.235690,745.4,360,360
2025-06-06 12:27:54.298268,903.85,420,480
2025-06-06 12:27:54.773051,903.85,420,480
2025-06-06 12:27:55.270874,797.4,480,210
2025-06-06 12:27:55.276263,745.4,330,180
2025-06-06 12:27:55.501689,904.45,360,780
2025-06-06 12:27:55.769740,904.45,360,780
2025-06-06 12:27:56.027015,748.2,330,180
2025-06-06 12:27:56.184375,797.8,480,210
2025-06-06 12:27:56.484239,797.95,270,480
2025-06-06 12:27:56.485949,746.5,300,240
2025-06-06 12:27:56.774675,905.95,360,780
2025-06-06 12:27:56.898547,905.95,330,300
2025-06-06 12:27:57.029263,748.2,300,240
2025-06-06 12:27:57.183380,796.4,270,480
2025-06-06 12:27:57.676656,796.4,210,480
2025-06-06 12:27:57.680582,746.65,240,270
2025-06-06 12:27:57.772857,903.3,330,300
2025-06-06 12:27:58.032330,746.65,240,270
2025-06-06 12:27:58.101234,903.3,510,330
